"month","method","count"
1,"逕舉",46038
1,"攔停",16597
2,"逕舉",52322
2,"攔停",14875
3,"逕舉",55662
3,"攔停",14179
4,"逕舉",45232
4,"攔停",17943
5,"逕舉",59891
5,"攔停",17733
6,"逕舉",47964
6,"攔停",15505
7,"逕舉",68549
7,"攔停",19424
8,"逕舉",49284
8,"攔停",15078
9,"逕舉",55172
9,"攔停",14045
10,"逕舉",50570
10,"攔停",14914
11,"逕舉",54524
11,"攔停",14993
12,"逕舉",43240
12,"攔停",11146
